TramJourneyID,TravelTimeMinutes,Line,Direction,hour_of_day,ServiceDay,Period
BRI_BRO04_2020_03_18,54.983333333333334,Green,Inbound to,18,2020-03-18,Evening
BRI_BRO04_2020_03_19,59.93333333333334,Green,Inbound to,9,2020-03-19,Morning
BRI_BRO04_2020_03_20,58.93333333333334,Green,Inbound to,9,2020-03-20,Morning
BRI_BRO05_2020_01_21,60.083333333333336,Green,Inbound to,10,2020-01-21,Morning
BRI_BRO05_2020_01_22,61.88333333333333,Green,Inbound to,10,2020-01-22,Morning
BRI_BRO05_2020_01_23,60.95,Green,Inbound to,17,2020-01-23,Evening
BRI_BRO05_2020_01_24,59.96666666666667,Green,Inbound to,10,2020-01-24,Morning
BRI_BRO05_2020_01_25,59.96666666666667,Green,Inbound to,8,2020-01-25,Morning
BRI_BRO05_2020_01_26,57.983333333333334,Green,Inbound to,8,2020-01-26,Morning
BRI_BRO05_2020_01_27,59.0,Green,Inbound to,18,2020-01-27,Evening
BRI_BRO05_2020_01_28,61.95,Green,Inbound to,17,2020-01-28,Evening
BRI_BRO05_2020_01_29,59.983333333333334,Green,Inbound to,18,2020-01-29,Evening
BRI_BRO05_2020_01_30,55.93333333333334,Green,Inbound to,10,2020-01-30,Morning
BRI_BRO05_2020_01_31,60.0,Green,Inbound to,9,2020-01-31,Morning
BRI_BRO05_2020_02_01,56.95,Green,Inbound to,7,2020-02-01,Morning
BRI_BRO05_2020_02_02,59.95,Green,Inbound to,8,2020-02-02,Morning
BRI_BRO05_2020_02_03,57.96666666666667,Green,Inbound to,9,2020-02-03,Morning
BRI_BRO05_2020_02_04,57.95,Green,Inbound to,10,2020-02-04,Morning
BRI_BRO05_2020_02_05,62.983333333333334,Green,Inbound to,17,2020-02-05,Evening
BRI_BRO05_2020_02_07,59.9,Green,Inbound to,9,2020-02-07,Morning
BRI_BRO05_2020_02_08,58.016666666666666,Green,Inbound to,7,2020-02-08,Morning
BRI_BRO05_2020_02_09,57.983333333333334,Green,Inbound to,9,2020-02-09,Morning
BRI_BRO05_2020_02_11,57.93333333333333,Green,Inbound to,9,2020-02-11,Morning
BRI_BRO05_2020_02_12,60.95,Green,Inbound to,8,2020-02-12,Morning
BRI_BRO05_2020_02_13,57.983333333333334,Green,Inbound to,10,2020-02-13,Morning
BRI_BRO05_2020_02_14,55.9,Green,Inbound to,10,2020-02-14,Morning
BRI_BRO05_2020_02_15,59.96666666666667,Green,Inbound to,7,2020-02-15,Morning
BRI_BRO05_2020_02_16,53.96666666666667,Green,Inbound to,8,2020-02-16,Morning
BRI_BRO05_2020_02_19,59.9,Green,Inbound to,10,2020-02-19,Morning
BRI_BRO05_2020_02_20,62.1,Green,Inbound to,17,2020-02-20,Evening
BRI_BRO05_2020_02_21,61.983333333333334,Green,Inbound to,8,2020-02-21,Morning
BRI_BRO05_2020_02_22,60.93333333333333,Green,Inbound to,8,2020-02-22,Morning
BRI_BRO05_2020_02_23,56.983333333333334,Green,Inbound to,8,2020-02-23,Morning
BRI_BRO05_2020_02_24,61.983333333333334,Green,Inbound to,9,2020-02-24,Morning
BRI_BRO05_2020_02_25,60.983333333333334,Green,Inbound to,17,2020-02-25,Evening
BRI_BRO05_2020_02_27,60.95,Green,Inbound to,17,2020-02-27,Evening
BRI_BRO05_2020_02_28,57.95,Green,Inbound to,9,2020-02-28,Morning
BRI_BRO05_2020_02_29,57.96666666666667,Green,Inbound to,8,2020-02-29,Morning
BRI_BRO05_2020_03_01,57.0,Green,Inbound to,8,2020-03-01,Morning
BRI_BRO05_2020_03_02,59.0,Green,Inbound to,10,2020-03-02,Morning
BRI_BRO05_2020_03_03,61.916666666666664,Green,Inbound to,17,2020-03-03,Evening
BRI_BRO05_2020_03_04,61.96666666666667,Green,Inbound to,8,2020-03-04,Morning
BRI_BRO05_2020_03_05,59.88333333333333,Green,Inbound to,10,2020-03-05,Morning
BRI_BRO05_2020_03_06,57.05,Green,Inbound to,10,2020-03-06,Morning
BRI_BRO05_2020_03_07,55.95,Green,Inbound to,8,2020-03-07,Morning
BRI_BRO05_2020_03_08,58.96666666666667,Green,Inbound to,8,2020-03-08,Morning
BRI_BRO05_2020_03_09,59.96666666666667,Green,Inbound to,9,2020-03-09,Morning
BRI_BRO05_2020_03_10,60.0,Green,Inbound to,9,2020-03-10,Morning
BRI_BRO05_2020_03_11,59.95,Green,Inbound to,17,2020-03-11,Evening
BRI_BRO05_2020_03_12,55.93333333333333,Green,Inbound to,10,2020-03-12,Morning
BRI_BRO05_2020_03_13,59.983333333333334,Green,Inbound to,9,2020-03-13,Morning
BRI_BRO05_2020_03_14,61.983333333333334,Green,Inbound to,7,2020-03-14,Morning
BRI_BRO05_2020_03_15,57.93333333333333,Green,Inbound to,8,2020-03-15,Morning
BRI_BRO05_2020_03_16,57.983333333333334,Green,Inbound to,19,2020-03-16,Evening
BRI_BRO05_2020_03_17,57.96666666666667,Green,Inbound to,8,2020-03-17,Morning
BRI_BRO05_2020_03_18,57.93333333333333,Green,Inbound to,19,2020-03-18,Evening
BRI_BRO05_2020_03_19,57.93333333333334,Green,Inbound to,10,2020-03-19,Morning
BRI_BRO05_2020_03_20,59.95,Green,Inbound to,10,2020-03-20,Morning
BRI_BRO06_2020_01_20,57.95,Green,Inbound to,19,2020-01-20,Evening
BRI_BRO06_2020_01_21,59.93333333333333,Green,Inbound to,18,2020-01-21,Evening
BRI_BRO06_2020_01_22,61.95,Green,Inbound to,17,2020-01-22,Evening
BRI_BRO06_2020_01_23,59.96666666666667,Green,Inbound to,18,2020-01-23,Evening
BRI_BRO06_2020_01_24,61.96666666666667,Green,Inbound to,17,2020-01-24,Evening
BRI_BRO06_2020_01_25,57.983333333333334,Green,Inbound to,8,2020-01-25,Morning
BRI_BRO06_2020_01_26,56.96666666666667,Green,Inbound to,8,2020-01-26,Morning
BRI_BRO06_2020_01_27,60.96666666666667,Green,Inbound to,19,2020-01-27,Evening
BRI_BRO06_2020_01_28,59.95,Green,Inbound to,18,2020-01-28,Evening
BRI_BRO06_2020_01_29,56.0,Green,Inbound to,18,2020-01-29,Evening
BRI_BRO06_2020_01_30,59.96666666666667,Green,Inbound to,11,2020-01-30,Midday
BRI_BRO06_2020_01_31,55.983333333333334,Green,Inbound to,10,2020-01-31,Morning
BRI_BRO06_2020_02_01,57.983333333333334,Green,Inbound to,8,2020-02-01,Morning
BRI_BRO06_2020_02_02,56.96666666666667,Green,Inbound to,8,2020-02-02,Morning
BRI_BRO06_2020_02_03,57.93333333333333,Green,Inbound to,10,2020-02-03,Morning
BRI_BRO06_2020_02_04,59.983333333333334,Green,Inbound to,10,2020-02-04,Morning
BRI_BRO06_2020_02_06,59.95,Green,Inbound to,8,2020-02-06,Morning
BRI_BRO06_2020_02_07,57.95,Green,Inbound to,10,2020-02-07,Morning
BRI_BRO06_2020_02_08,58.016666666666666,Green,Inbound to,8,2020-02-08,Morning
BRI_BRO06_2020_02_09,54.983333333333334,Green,Inbound to,9,2020-02-09,Morning
BRI_BRO06_2020_02_10,59.95,Green,Inbound to,8,2020-02-10,Morning
BRI_BRO06_2020_02_11,56.96666666666667,Green,Inbound to,10,2020-02-11,Morning
BRI_BRO06_2020_02_12,61.96666666666667,Green,Inbound to,9,2020-02-12,Morning
BRI_BRO06_2020_02_13,58.96666666666667,Green,Inbound to,10,2020-02-13,Morning
BRI_BRO06_2020_02_14,59.983333333333334,Green,Inbound to,10,2020-02-14,Morning
BRI_BRO06_2020_02_15,57.93333333333333,Green,Inbound to,8,2020-02-15,Morning
BRI_BRO06_2020_02_16,57.96666666666667,Green,Inbound to,8,2020-02-16,Morning
BRI_BRO06_2020_02_17,59.983333333333334,Green,Inbound to,9,2020-02-17,Morning
BRI_BRO06_2020_02_18,59.983333333333334,Green,Inbound to,9,2020-02-18,Morning
BRI_BRO06_2020_02_19,59.93333333333333,Green,Inbound to,10,2020-02-19,Morning
BRI_BRO06_2020_02_20,62.43333333333333,Green,Inbound to,17,2020-02-20,Evening
BRI_BRO06_2020_02_21,61.983333333333334,Green,Inbound to,8,2020-02-21,Morning
BRI_BRO06_2020_02_22,58.0,Green,Inbound to,20,2020-02-22,Evening
BRI_BRO06_2020_02_23,59.0,Green,Inbound to,8,2020-02-23,Morning
BRI_BRO06_2020_02_24,57.96666666666667,Green,Inbound to,10,2020-02-24,Morning
BRI_BRO06_2020_02_26,53.983333333333334,Green,Inbound to,8,2020-02-26,Morning
BRI_BRO06_2020_02_27,58.0,Green,Inbound to,18,2020-02-27,Evening
BRI_BRO06_2020_02_28,59.93333333333333,Green,Inbound to,10,2020-02-28,Morning
BRI_BRO06_2020_02_29,55.95,Green,Inbound to,20,2020-02-29,Evening
BRI_BRO06_2020_03_01,55.96666666666667,Green,Inbound to,8,2020-03-01,Morning
BRI_BRO06_2020_03_02,61.96666666666667,Green,Inbound to,10,2020-03-02,Morning
BRI_BRO06_2020_03_03,61.96666666666667,Green,Inbound to,17,2020-03-03,Evening
BRI_BRO06_2020_03_04,59.9,Green,Inbound to,9,2020-03-04,Morning
BRI_BRO06_2020_03_05,61.96666666666667,Green,Inbound to,16,2020-03-05,Midday
BRI_BRO06_2020_03_06,57.983333333333334,Green,Inbound to,11,2020-03-06,Midday
BRI_BRO06_2020_03_07,57.983333333333334,Green,Inbound to,8,2020-03-07,Morning
BRI_BRO06_2020_03_08,58.0,Green,Inbound to,9,2020-03-08,Morning
BRI_BRO06_2020_03_09,55.983333333333334,Green,Inbound to,10,2020-03-09,Morning
BRI_BRO06_2020_03_10,58.96666666666667,Green,Inbound to,10,2020-03-10,Morning
BRI_BRO06_2020_03_11,57.983333333333334,Green,Inbound to,19,2020-03-11,Evening
BRI_BRO06_2020_03_12,61.983333333333334,Green,Inbound to,10,2020-03-12,Morning
BRI_BRO06_2020_03_13,59.983333333333334,Green,Inbound to,10,2020-03-13,Morning
BRI_BRO06_2020_03_14,57.96666666666667,Green,Inbound to,8,2020-03-14,Morning
BRI_BRO06_2020_03_15,59.96666666666667,Green,Inbound to,9,2020-03-15,Morning
